Name,Team,Year,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
Wes Unseld*,WSB,1980,4.0,7.8,.513,0.0,0.0,.500,4.0,7.7,.513,1.7,2.5,.665,4.1,9.3,4.5,0.8,0.7,1.9,3.0,9.7
Jan van Breda Kolff,NJN,1980,2.6,5.6,.463,0.1,0.2,.350,2.5,5.3,.468,1.6,1.9,.839,1.3,4.0,3.0,1.2,0.9,1.9,3.7,6.8
Andre Wakefield,UTA,1980,0.8,1.9,.400,0.0,0.0,,0.8,1.9,.400,0.4,0.4,1.000,0.0,0.5,0.4,0.1,0.0,1.0,1.6,1.9
Foots Walker,CLE,1980,3.4,7.5,.454,0.0,0.1,.111,3.4,7.4,.460,2.6,3.2,.802,1.0,2.8,8.0,2.0,0.2,2.1,2.7,9.4
Wally Walker,SEA,1980,2.0,3.9,.507,0.0,0.0,,2.0,3.9,.507,0.7,0.9,.750,0.9,1.5,0.8,0.3,0.1,0.7,1.5,4.7
Bill Walton*,SDC,1980,5.8,11.5,.503,0.0,0.0,,5.8,11.5,.503,2.3,3.9,.593,2.0,7.0,2.4,0.6,2.7,2.6,2.6,13.9
Lloyd Walton,MIL,1980,1.4,3.2,.455,0.0,0.0,.333,1.4,3.1,.456,0.6,0.9,.690,0.4,0.8,3.8,0.6,0.0,1.5,0.9,3.6
Kermit Washington,POR,1980,5.3,9.5,.553,0.0,0.0,.000,5.3,9.5,.555,2.9,4.5,.642,4.1,6.5,2.1,0.9,1.6,2.1,3.8,13.4
Richard Washington,MIL,1980,2.6,5.6,.468,0.0,0.0,,2.6,5.6,.468,0.6,1.0,.605,1.3,2.4,0.7,0.3,0.6,0.8,2.2,5.9
Nick Weatherspoon,SDC,1980,2.9,6.6,.434,0.0,0.0,,2.9,6.6,.434,1.1,1.6,.692,1.5,2.2,0.9,0.6,0.3,1.5,2.4,6.9
Marvin Webster,NYK,1980,1.9,4.0,.481,0.0,0.0,,1.9,4.0,.481,0.6,0.8,.750,1.4,2.6,0.5,0.2,0.6,1.0,2.0,4.4
Scott Wedman,KCK,1980,8.4,16.4,.512,0.1,0.3,.318,8.3,16.0,.516,2.1,2.7,.801,1.7,4.0,2.1,1.2,0.7,1.6,3.4,19.0
Paul Westphal*,PHO,1980,8.4,16.1,.525,0.3,1.1,.280,8.1,14.9,.544,4.7,5.4,.862,0.6,1.7,5.1,1.5,0.4,2.5,2.0,21.9
Jo Jo White*,GSW,1980,4.3,9.1,.476,0.0,0.1,.167,4.3,9.0,.479,1.2,1.5,.851,0.5,1.8,3.1,1.1,0.2,2.0,2.4,9.9
Rudy White,HOU,1980,1.4,2.7,.542,0.0,0.0,,1.4,2.7,.542,1.1,1.4,.769,0.0,1.0,0.6,0.6,0.0,0.9,0.9,4.0
Jerome Whitehead,TOT,1980,1.2,2.3,.509,0.0,0.0,,1.2,2.3,.509,0.2,0.7,.286,1.1,2.2,0.5,0.2,0.3,0.7,1.9,2.5
Sidney Wicks,SDC,1980,3.0,7.0,.423,0.0,0.0,.000,3.0,7.0,.424,1.2,2.1,.546,1.9,3.8,3.0,1.1,0.7,2.4,3.4,7.1
Bob Wilkerson,DEN,1980,5.7,13.7,.417,0.1,0.5,.206,5.6,13.3,.425,2.2,3.0,.748,1.1,3.1,3.2,1.2,0.4,2.6,2.6,13.8
Jamaal Wilkes*,LAL,1980,8.9,16.6,.535,0.0,0.2,.176,8.8,16.4,.539,2.3,2.9,.808,2.1,4.3,3.0,1.6,0.3,1.9,2.7,20.0
Duck Williams,UTA,1980,3.0,6.7,.447,0.0,0.2,.000,3.0,6.6,.458,0.5,0.8,.700,0.3,1.1,2.4,1.3,0.1,1.4,2.2,6.6
Freeman Williams,SDC,1980,7.9,16.4,.480,0.5,1.6,.328,7.4,14.8,.496,2.4,2.9,.815,1.3,1.1,2.0,0.9,0.1,2.1,1.8,18.6
Gus Williams,SEA,1980,9.0,18.7,.482,0.1,0.4,.194,8.9,18.3,.489,4.0,5.1,.788,1.5,1.8,4.8,2.4,0.5,2.2,2.0,22.1
Ray Williams,NYK,1980,8.4,16.9,.496,0.1,0.5,.189,8.3,16.4,.505,4.1,5.2,.787,1.8,3.2,6.2,2.0,0.3,3.1,3.6,20.9
Sly Williams,NYK,1980,1.8,4.7,.390,0.0,0.1,.000,1.8,4.6,.395,1.0,1.6,.644,1.1,1.0,0.6,0.3,0.1,0.9,1.3,4.7
John Williamson,TOT,1980,6.2,14.1,.439,0.2,0.6,.314,6.0,13.5,.445,2.0,2.4,.841,0.7,1.1,2.2,0.6,0.3,1.6,2.4,14.6
